 VD, forward,V_G = -2.0,V_G = -1.5,V_G = -1.0,V_G = -0.5,V_G = 0.0,V_G = 0.5,V_G = 1.0
0.435,False,6.370000000000002e-06,3.771e-05,0.00067392,0.014589199999999998,0.15956,0.39414,0.48811999999999994
0.45,False,6.240000000000001e-06,3.714e-05,0.0006885400000000001,0.0146604,0.161,0.40382,0.5043799999999999
0.465,False,5.910000000000001e-06,3.765e-05,0.0006898300000000001,0.0147486,0.16266,0.4105,0.51306
0.48,False,5.38e-06,3.887e-05,0.00069134,0.0147416,0.16402,0.41853999999999997,0.5269400000000001
0.495,False,5.55e-06,3.8190000000000005e-05,0.00068905,0.014822599999999998,0.1641,0.42598,0.53964
0.51,False,4.6300000000000006e-06,3.9309999999999995e-05,0.00068528,0.014707199999999998,0.16552,0.43054,0.5479999999999999
0.525,False,5.3500000000000004e-06,4.0740000000000006e-05,0.0006865,0.0148518,0.16616,0.43701999999999996,0.561
0.54,False,5.690000000000001e-06,4.054e-05,0.00068335,0.014909799999999999,0.16649999999999998,0.4422,0.5696399999999999
0.555,False,5.1600000000000006e-06,4.018e-05,0.00068184,0.014946199999999998,0.16777999999999998,0.4474,0.5754199999999999
0.57,False,6.35e-06,4.101e-05,0.00068083,0.014935599999999997,0.16842,0.45058,0.58644
0.585,False,6.130000000000001e-06,4.101e-05,0.0006914200000000001,0.015080999999999997,0.16843999999999998,0.45718000000000003,0.5968600000000001
0.6,False,6.840000000000001e-06,4.1269999999999996e-05,0.00069351,0.0150256,0.16912,0.46222,0.60326
0.615,False,7.16e-06,4.072e-05,0.00068849,0.015241799999999998,0.16968,0.46534000000000003,0.6111
0.63,False,7.540000000000001e-06,4.079e-05,0.00069076,0.015243999999999997,0.16996,0.4702,0.62062
0.645,False,7.050000000000001e-06,4.066000000000001e-05,0.0006904,0.015241999999999999,0.17066,0.4742,0.62566
0.66,False,7.340000000000001e-06,4.02e-05,0.00068992,0.015141199999999997,0.17116,0.4762,0.62944
0.675,False,8.32e-06,3.9970000000000005e-05,0.0006863800000000001,0.015135,0.17121999999999998,0.47907999999999995,0.63924
0.69,False,8.11e-06,4.176000000000001e-05,0.00069403,0.015299199999999997,0.17168,0.48122,0.64474
0.705,False,9.000000000000002e-06,4.219000000000001e-05,0.0007058100000000001,0.0153548,0.17246,0.48551999999999995,0.6520600000000001
0.72,False,8.45e-06,4.126e-05,0.00069945,0.015329999999999998,0.17324,0.48986,0.6617999999999999
0.735,False,9.590000000000003e-06,4.0810000000000004e-05,0.00070485,0.015311799999999997,0.17374,0.49284,0.66176
0.75,False,9.9e-06,3.9489999999999996e-05,0.00070753,0.015438599999999999,0.17364000000000002,0.49518,0.66464
0.765,False,9.800000000000001e-06,3.9819999999999995e-05,0.0007102600000000001,0.015443199999999999,0.1737,0.49813999999999997,0.6750400000000001
0.78,False,8.880000000000003e-06,3.985e-05,0.00071785,0.015360399999999998,0.17396,0.4989,0.6771999999999999
0.795,False,9.450000000000001e-06,4.046e-05,0.00071517,0.0154016,0.17366,0.50332,0.6862
0.81,False,9.1e-06,4.091e-05,0.0007183000000000001,0.015362599999999999,0.1736,0.50412,0.68498
0.825,False,9.640000000000001e-06,4.073e-05,0.0007206900000000001,0.0152958,0.17426,0.50368,0.68688
0.84,False,8.890000000000003e-06,4.2890000000000004e-05,0.0007220500000000001,0.0152854,0.17450000000000002,0.5092,0.69836
0.855,False,9.41e-06,4.202e-05,0.0007317700000000001,0.0154218,0.17459999999999998,0.50806,0.70404
0.87,False,9.260000000000001e-06,4.195e-05,0.0007282899999999999,0.015363999999999997,0.17472,0.5118,0.70328
